customer_id,gender,age,payment_method
CUS-00001,Female,22,Online
CUS-00002,Female,40,Cash
CUS-00003,Male,27,Online
CUS-00004,Female,63,Card
CUS-00005,Female,24,Card
CUS-00006,Female,30,Card
CUS-00007,Female,67,Card
CUS-00008,Female,37,Card
CUS-00009,Female,23,Card
CUS-00010,Male,23,Online
CUS-00011,Female,19,Card
CUS-00012,Male,22,Online
CUS-00013,Male,66,Online
CUS-00014,Female,21,Cash
CUS-00015,Male,34,Cash
CUS-00016,Female,50,Online
CUS-00017,Male,50,Cash
CUS-00018,Female,59,Online
CUS-00019,Male,37,Online
CUS-00020,Male,66,Cash
CUS-00021,Female,48,Cash
CUS-00022,Male,34,Cash
CUS-00023,Male,68,Cash
CUS-00024,Male,19,Online
CUS-00025,Female,46,Card
CUS-00026,Female,69,Cash
CUS-00027,Male,46,Card
CUS-00028,Female,27,Card
CUS-00029,Female,38,Online
CUS-00030,Female,55,Online
CUS-00031,Female,59,Cash
CUS-00032,Female,45,Card
CUS-00033,Male,33,Online
CUS-00034,Female,60,Card
CUS-00035,Male,65,Card
CUS-00036,Male,63,Online
CUS-00037,Female,31,Cash
CUS-00038,Male,38,Card
CUS-00039,Male,70,Cash
CUS-00040,Female,20,Online
CUS-00041,Female,26,Cash
CUS-00042,Female,69,Card
CUS-00043,Female,59,Online
CUS-00044,Male,57,Online
CUS-00045,Female,37,Online
CUS-00046,Male,45,Online
CUS-00047,Female,59,Card
CUS-00048,Male,37,Cash
CUS-00049,Male,24,Cash
CUS-00050,Female,46,Online
CUS-00051,Male,49,Online
CUS-00052,Female,48,Cash
CUS-00053,Female,54,Card
CUS-00054,Male,54,Cash
CUS-00055,Female,39,Cash
CUS-00056,Male,38,Cash
CUS-00057,Female,63,Card
CUS-00058,Female,19,Cash
CUS-00059,Female,66,Online
CUS-00060,Female,39,Cash
CUS-00061,Female,29,Online
CUS-00062,Female,31,Cash
CUS-00063,Female,63,Card
CUS-00064,Male,18,Online
CUS-00065,Female,55,Cash
CUS-00066,Male,47,Online
CUS-00067,Female,28,Online
CUS-00068,Female,37,Online
CUS-00069,Female,65,Cash
CUS-00070,Male,19,Online
CUS-00071,Male,52,Online
CUS-00072,Female,26,Online
CUS-00073,Female,30,Online
CUS-00074,Female,34,Card
CUS-00075,Female,65,Online
CUS-00076,Female,51,Cash
CUS-00077,Male,42,Cash
CUS-00078,Female,22,Card
CUS-00079,Female,54,Cash
CUS-00080,Male,57,Cash
CUS-00081,Female,44,Cash
CUS-00082,Female,50,Cash
CUS-00083,Female,68,Card
CUS-00084,Female,45,Card
CUS-00085,Female,33,Online
CUS-00086,Male,48,Cash
CUS-00087,Female,54,Cash
CUS-00088,Male,37,Cash
CUS-00089,Female,39,Card
CUS-00090,Male,24,Cash
CUS-00091,Male,21,Online
CUS-00092,Male,21,Card
CUS-00093,Male,55,Cash
CUS-00094,Male,44,Online
CUS-00095,Female,58,Card
CUS-00096,Female,20,Card
CUS-00097,Male,68,Card
CUS-00098,Male,31,Online
CUS-00099,Male,41,Online
CUS-00100,Male,36,Card
CUS-00101,Male,61,Cash
CUS-00102,Female,29,Cash
CUS-00103,Male,36,Card
CUS-00104,Female,24,Online
CUS-00105,Female,20,Online
CUS-00106,Female,42,Cash
CUS-00107,Male,21,Online
CUS-00108,Male,28,Online
CUS-00109,Male,69,Online
CUS-00110,Male,53,Online
CUS-00111,Male,20,Cash
CUS-00112,Male,53,Card
CUS-00113,Male,22,Online
CUS-00114,Female,23,Online
CUS-00115,Male,64,Card
CUS-00116,Female,33,Card
CUS-00117,Female,21,Cash
CUS-00118,Female,50,Online
CUS-00119,Male,52,Cash
CUS-00120,Female,61,Online
CUS-00121,Male,45,Online
CUS-00122,Male,61,Online
CUS-00123,Female,21,Cash
CUS-00124,Female,43,Card
CUS-00125,Female,53,Online
CUS-00126,Male,49,Card
CUS-00127,Male,66,Cash
CUS-00128,Male,35,Card
CUS-00129,Female,64,Online
CUS-00130,Male,45,Online
CUS-00131,Male,37,Online
CUS-00132,Female,21,Card
CUS-00133,Female,70,Card
CUS-00134,Female,19,Online
CUS-00135,Female,29,Online
CUS-00136,Female,41,Card
CUS-00137,Male,26,Card
CUS-00138,Male,38,Card
CUS-00139,Male,30,Online
CUS-00140,Male,53,Cash
CUS-00141,Male,45,Online
CUS-00142,Male,56,Cash
CUS-00143,Female,69,Online
CUS-00144,Male,28,Online
CUS-00145,Male,30,Online
CUS-00146,Female,29,Online
CUS-00147,Female,32,Online
CUS-00148,Male,59,Online
CUS-00149,Female,44,Cash
CUS-00150,Female,33,Online
CUS-00151,Male,55,Online
CUS-00152,Female,42,Online
CUS-00153,Male,30,Card
CUS-00154,Male,53,Card
CUS-00155,Male,55,Card
CUS-00156,Male,30,Card
CUS-00157,Female,70,Online
CUS-00158,Female,37,Cash
CUS-00159,Male,32,Cash
CUS-00160,Female,50,Online
CUS-00161,Female,27,Cash
CUS-00162,Male,53,Cash
CUS-00163,Male,68,Card
CUS-00164,Male,40,Online
CUS-00165,Male,23,Card
CUS-00166,Female,33,Cash
CUS-00167,Male,25,Card
CUS-00168,Female,70,Online
CUS-00169,Female,47,Cash
CUS-00170,Female,56,Cash
CUS-00171,Female,30,Card
CUS-00172,Female,41,Online
CUS-00173,Male,60,Online
CUS-00174,Female,47,Card
CUS-00175,Male,21,Online
CUS-00176,Female,63,Cash
CUS-00177,Female,25,Cash
CUS-00178,Male,42,Cash
CUS-00179,Female,60,Online
CUS-00180,Male,54,Cash
CUS-00181,Male,67,Cash
CUS-00182,Female,53,Online
CUS-00183,Male,56,Online
CUS-00184,Female,61,Card
CUS-00185,Female,21,Online
CUS-00186,Female,53,Card
CUS-00187,Female,46,Online
CUS-00188,Male,25,Online
CUS-00189,Female,46,Card
CUS-00190,Female,62,Card
CUS-00191,Female,63,Cash
CUS-00192,Female,68,Cash
CUS-00193,Male,29,Online
CUS-00194,Male,57,Card
CUS-00195,Female,29,Card
CUS-00196,Male,69,Card
CUS-00197,Male,51,Card
CUS-00198,Male,55,Card
CUS-00199,Female,38,Online
CUS-00200,Female,33,Cash
CUS-00201,Female,26,Cash
CUS-00202,Male,57,Online
CUS-00203,Female,70,Cash
CUS-00204,Female,70,Online
CUS-00205,Male,49,Cash
CUS-00206,Female,20,Cash
CUS-00207,Female,36,Online
CUS-00208,Male,54,Cash
CUS-00209,Female,24,Cash
CUS-00210,Male,56,Card
CUS-00211,Male,52,Online
CUS-00212,Male,32,Cash
CUS-00213,Male,48,Cash
CUS-00214,Female,30,Cash
CUS-00215,Female,48,Online
